Year,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,43,,40,,,37,,,,,37.8,,38.4,,,,36,,,35.4,,,30.6,,,28.6,,,26,,,24.1,,,22.1,,,19.6,,,17.8,,,16.9,,,15.4,,,13,,
Germany,,,,,,,,,,,,,,,28.5,,,,,,,,,,,25.1,,,24.8,,,24.3,,,,24.7,,,,24.3,,23.2,,,,21.9,,,,20.9,,
New Zealand,,,,,,,,,,,,,36,,,,,32,,33,32,30,30,30,29,27,28,26,27,27,27,27,26,26,25,26,25,25,25,23,22,22.5,20.7,18.1,,,,,16.5,15.5,15.5,15
United States,,42.4,42.6,39.1,37.7,,37.4,,,,37.1,,36.1,36,34.1,33.5,33.2,,,32.1,,30.1,,28.8,28.1,,25.5,22.1,22.3,20.4,21,20,,20.3,19.9,19.2,19.1,18.7,18.4,17.5,17,16.9,16.7,15.4,16.5,16.1,15.1,14.8,14.2,13.7,12.9,
